Cell ID,Entity,Dimension Code,Policy Dimension,NDC Source/Page,NDC Evidence Excerpt,IPCC Source/Page,IPCC Evidence Excerpt,Cut-off Flag,Review Scope
GC-073,Russia,D3,Methane Reduction,"Russia's 2035 NDC (Sept 2025); Global Methane Pledge (non-signatory, COP26 2021)","Russia has not signed the Global Methane Pledge and has 'not announced a high-level commitment on methane mitigation' (IEA Global Methane Tracker, secondary), despite being the world's fourth-largest GHG emitter. Russia's presidential climate envoy explicitly rejected the pledge, stating it 'would impose an unacceptable burden on Russia' and that Russia would 'determine its own schedule for reducing methane emissions' (Carbon Brief, secondary) — no such schedule or quantified target has since been published. Russian gas companies Gazprom and Rosneft participate in the voluntary Oil and Gas Methane Partnership 2.0 reporting standard, but international experts have 'questioned the transparency and consistency' of the resulting data.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-074,Russia,D4,Adaptation Finance,"National Action Plan for the first stage of adaptation to climate change (approved by Russian government, effective through 2022)","Russia's national adaptation plan lists qualitative preventive measures (e.g., dam building, drought-resistant crop switching) and crisis-preparation steps, but no adaptation finance figure was found in the plan or in the 2035 NDC. Independent analysis (Bobo Lo, French Institute of International Relations/IFRI, secondary) argues Russian climate policy, including adaptation, is 'subordinate to Moscow's larger strategic objectives' (geopolitical power projection, protecting fossil fuel majors) rather than genuine climate response, characterizing the overall posture as 'climate denialism in all but name.'","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",,Exploratory 119-cell review
GC-075,Russia,D5,Loss and Damage,Russia's 2035 NDC (Sept 2025),"No loss-and-damage finance need, liability/compensation reference, or contribution to the international Loss and Damage Fund was found for Russia in any source reviewed — consistent with Russia's broader pattern of disengagement from voluntary international climate cooperation mechanisms (non-signatory to the Global Methane Pledge, a 2035 target requiring no additional effort).",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-076,Russia,D6,Transport Sector Targets,"Russian Federation domestic EV production plans (2025 update, via Climate Action Tracker, secondary)","Pre-war plans aimed to expand domestic EV production to around 220,000 units by 2030; updated targets have been 'slashed by three-quarters' to a new goal of just 54,250 domestically-produced EVs by 2030 (CAT, secondary, citing Partsvania 2023 and Russian Federation 2025e). Moscow (a city, not national policy) 'leads the way in Russia for EV adoption, and leads the way in Europe for the rollout of electric buses.' No absolute transport-sector emissions target or national fleet-electrification-share target was found in the NDC.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-077,Russia,D7,LULUCF and Carbon Sinks,Russia's 2035 NDC (Sept 2025); Climate Action Tracker LULUCF analysis (secondary),"Russia's 2035 target of 65–67% of 1990 levels explicitly 'includes LULUCF' per the executive order underlying the NDC. Excluding LULUCF, the target equates to only 27–33% below 1990 levels (2,113–2,308 MtCO2e), versus the 79% below 1990 (657 MtCO2e) CAT calculates is needed for 1.5°C-compatibility excluding LULUCF — a very large gap masked by land-sink accounting. CAT states 'Russia's accounting methodology does not follow UNFCCC guidelines, leading to inflated figures regarding its LULUCF sector's carbon sink,' including counting unmanaged forests as a sink contrary to UNFCCC protocol, while 'official reporting on wildfires has been significantly lower than independent analyses based on satellite data.'",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-078,Saudi Arabia,D1,Renewable Energy Targets,Saudi Arabia's 2021 NDC (mitigation measures); Saudi Green Initiative (SGI); Vision 2030,"NDC and SGI commit to '50% of its power generated from renewable sources by 2030,' alongside plans to install 58.7 GW of renewable capacity by 2030. However, Climate Action Tracker (secondary) finds that 'as of 2024, renewables generated around 2% of electricity, rendering the 2030 target increasingly infeasible,' with only ~4.3 GW installed. The NDC's own energy-mix plan simultaneously commits to 'maintain a 50% share of natural gas in the electricity generation mix by 2030' (Climate Analytics, secondary) alongside the renewables target — suggesting the transition is framed as displacing oil rather than fossil fuels generally.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,,Exploratory 119-cell review
GC-079,Saudi Arabia,D2,Net Zero Pathway,"Saudi Arabia's Third NDC (submitted UNFCCC Dec 31, 2025)","The new NDC sets a target to 'reduce, avoid, and remove greenhouse gas emissions by 335 million tons... annually reached by 2040... on the basis of a dynamic baseline' — skipping a 2035 target entirely (unlike almost every other country reviewed) and explicitly reserving the right to change the baseline if the government feels the target imposes 'a disproportionate or abnormal burden on the Kingdom's economy' (Climate Home News, primary document quote). Climate Action Tracker (secondary) states: 'the new emissions reduction target... offers no meaningful improvements in ambition or transparency... the gap between Saudi Arabia's targets and a 1.5°C trajectory has actually widened.' Net zero is targeted for 2060 via a 'Circular Carbon Economy' approach reliant on CCS; no Long-Term Strategy has been submitted to the UNFCCC.",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-080,Saudi Arabia,D3,Methane Reduction,"2021 NDC methane management measures; Global Methane Pledge (Crown Prince pledge, Oct 2021); World Bank Zero Routine Flaring by 2030 initiative (Saudi Aramco, endorsed Nov 2019)","Saudi Arabia is a Global Methane Pledge member, with Crown Prince Mohammed bin Salman pledging in 2021 to 'cut methane emissions by 30% by 2030' (relative to 2020 levels, collective GMP goal). The NDC lists concrete methane management measures including zero routine flaring and 'recovery and use of methane for electricity generation and petrochemicals manufacturing.' Saudi Aramco's Master Gas System has reduced flaring from ~4,000 million cubic feet/day to under 200 mmcf/day historically, with flaring intensity down ~10% between 2012–2022 (World Bank flaring database, primary). One secondary source (ScienceDirect industry review) separately cites a '15% methane emissions cut by 2030' figure tied to specific initiatives, which is inconsistent with the 30% GMP figure and should be reconciled against the primary NDC text.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,,Exploratory 119-cell review
GC-081,Saudi Arabia,D4,Adaptation Finance,Saudi Arabia's NDC (2021 and Dec 2025 versions); Institute for Global Environmental Strategies (IGES) NDC Database v7.7 (Oct 2022),"The IGES NDC Database — a systematic, independent tracker of financial resources needed for countries' NDC adaptation commitments — lists 'No Data' for Saudi Arabia's adaptation finance needs (Berkeley Othering & Belonging Institute, secondary, citing IGES directly). Academic analysis (Taylor & Francis, secondary) confirms mitigation and adaptation measures in the NDC are framed only as 'co-benefits' of economic diversification rather than a standalone funded pillar. Large domestic infrastructure investments exist (e.g., an 8.5 million m³/day desalination capacity target by 2025) but are framed around water security broadly, not disclosed as climate adaptation finance in the NDC.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-082,Saudi Arabia,D5,Loss and Damage,Saudi Arabia's NDC (2021 and Dec 2025 versions),"No loss-and-damage finance need, liability/compensation reference, domestic L&D framework, or contribution to the international Loss and Damage Fund was found for Saudi Arabia in any source reviewed.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-083,Saudi Arabia,D6,Transport Sector Targets,Saudi Railway Master Plan (2010); Riyadh Metro (operational 2024); NEOM light rail; Climate Analytics Saudi Arabia country profile,"Climate Analytics (secondary, directly assessing the NDC) states plainly: 'No quantitative targets directly linked to climate action in the transport sector.' Real infrastructure investment nonetheless exists: the Saudi Railway Master Plan targets a 9,900 km network by 2040 (5,500 km in its first phase to 2025), the Riyadh Metro and NEOM light rail are now operational, the electric Haramain High-Speed Railway connects Makkah and Medina, and the government is investing in domestic EV manufacturing. However, 'most of Saudi Arabia's other rail lines — particularly for freight and long-distance passenger travel — are powered by diesel' (Climate Action Tracker, secondary).",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,,Exploratory 119-cell review
GC-084,Saudi Arabia,D7,LULUCF and Carbon Sinks,Saudi Arabia's Third NDC (Dec 2025); Saudi Green Initiative tree-planting program; Climate Transparency Report 2021,"Climate Action Tracker (secondary) states it had to derive the 2035/2040 emissions level using an external baseline scenario partly because of 'uncertainties around the expected contributions of the land use and forestry sector to emissions reduc[tions]' — meaning LULUCF's role in the headline target is itself undisclosed. The Saudi Green Initiative includes mass tree-planting ambitions, but Climate Transparency's 2021 country report notes 'the efficacy of mass tree planting has been questioned given the country's climate,' with only local drought-resistant plants and mangroves considered viable given Saudi Arabia's arid conditions. No separate, quantified LULUCF sink target was found.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-085,South Africa,D1,Renewable Energy Targets,South Africa's Second NDC (submitted UNFCCC Oct 2025); Integrated Resource Plan (IRP) 2025,"The NDC itself states a total of 44 GW of new renewable energy capacity will be installed by 2035, 'thus contributing to green industrialization and helping to achieve the mitigation targets in this second NDC' — a quantified target embedded directly in the NDC text, not a separate side-document. This is further backed by the Just Energy Transition Partnership (JETP), which secured financing for 15 GW of renewable energy beyond the IRP baseline. However, as of 2025, just over 74% of South Africa's electricity still comes from burning coal (allAfrica/academic analysis, secondary).",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-086,South Africa,D2,Net Zero Pathway,South Africa's Second NDC (Oct 2025); Low-Emission Development Strategy (LEDS),"NDC sets an absolute, economy-wide target of 320–380 MtCO2e by 2035, in line with net zero by 2050 (LEDS). Climate Action Tracker (secondary) explicitly praises the NDC's structure: it 'incorporates many criteria which the CAT considers to be good practice, such as setting economy-wide targets and in absolute emission levels,' and estimates the new target is 'close to, but not fully aligned with, a 1.5°C compatible trajectory.' However, CAT also finds 'the gap between the target range... to a fully aligned 1.5 pathway has widened with the new 2035 targets, compared to the 2030 targets which fall almost entirely within the 1.5°C aligned pathway.' South Africa's own Presidential Climate Commission argued the government 'could credibly aim to reduce its carbon emissions by around 25–30% more between 2030 and 2035' (secondary, academic analysis).",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-087,South Africa,D3,Methane Reduction,South Africa's Second NDC (Oct 2025); Global Methane Pledge (membership status unclear),"No specific quantified methane reduction target was found in the NDC text reviewed. South Africa's methane emissions grew 30% between 1990–2019 to 61 MtCO2e/yr (Climate Transparency, secondary), with agriculture the largest source (49% of the total in 2019, down from 72% in 1990). South Africa's Global Methane Pledge membership status could not be confirmed either way across the sources reviewed.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-088,South Africa,D4,Adaptation Finance,"South Africa's Second NDC (Oct 2025); Just Energy Transition Partnership (JETP, COP26 2021) and Just Energy Transition Investment Plan (JET IP, 2023–2027)","The NDC states an estimated total investment of ZAR 3.47 trillion (~USD 201.6bn) is needed for mitigation projects to achieve the 2035 target range, though Climate Action Tracker (secondary) notes 'it does not state how much of this total investment figure should be met by international support.' Separately, the JETP secured an initial USD 8.5–9.3bn commitment (2023–2027) from France, Germany, the UK, US and EU, with a detailed Investment Plan covering electricity, New Energy Vehicles, and green hydrogen. The NDC also includes 'the country's first adaptation communication with elaborated measures on adaptation' (UNDP Climate Promise, secondary), though no adaptation-specific dollar figure was found (JETP funding is primarily mitigation/just-transition focused).","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-089,South Africa,D5,Loss and Damage,"South Africa's Second NDC (Oct 2025), primary text","The NDC directly and explicitly addresses loss and damage: 'South Africa expects a fair share of international climate finance, to be provided by the Fund for Responding to Loss and Damage (FRLD). Getting the FRLD, established in 2023, well-resourced, with effective mechanisms to claim and disburse monies in a timely manner to those worst impacted is a priority for South Africa.' This is a direct, named, primary-document statement of priority — framed as a recipient-country expectation rather than a quantified financial figure.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-090,South Africa,D6,Transport Sector Targets,"Electric Vehicle (EV) White Paper (Department of Trade, Industry and Competition, dtic.gov.za); Just Energy Transition Partnership (New Energy Vehicles priority area)","The EV White Paper sets an explicit target: by 2035, South Africa's vehicle production and consumption mix will shift to approximately 75% EV / 25% internal combustion engine (ICE) vehicles, aligned with (and citing) the same global sales projection used in the document (new ICE sales projected to fall to ~25% of the global total by 2035). This target is also linked to the Just Energy Transition Partnership, which names New Energy Vehicles as one of three JETP priority sectors alongside electricity and green hydrogen. Transport represented ~11% of South Africa's total GHG emissions in 2022 (excl. LULUCF), overwhelmingly from road transport (Climate Action Tracker, secondary, citing the 2024 National Inventory Report).",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,,Formal cut-off-compliant 8-cell subset
GC-091,South Africa,D7,LULUCF and Carbon Sinks,South Africa's Second NDC (Oct 2025); 2024 Biennial Transparency Report; National Forests Amendment Act (2022),"South Africa's Forestry and Other Land Use (FOLU) sector is a genuine, verified, and growing net sink — over 25 MtCO2e in 2020, rising to more than 40 MtCO2e in 2022 per the 2024 Biennial Transparency Report (Climate Action Tracker, secondary, citing DFFE data). The National Forests Amendment Act (2022) supports sector sustainability, and ongoing programmes cover afforestation, forest/woodland restoration, and grassland rehabilitation. Notably, the NDC explicitly excludes emissions from 'natural disturbances in the land sector' from its total net GHG figure — a transparency-positive design choice CAT contrasts favorably with countries that inflate sink figures. CAT does recommend the NDC 'could be further strengthened by clearly separating out LULUCF emissions' as a standalone line item.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Extended 35-cell diagnostic subset
GC-092,South Korea,D1,Renewable Energy Targets,"South Korea's 2035 NDC (submitted UNFCCC Dec 26, 2025)","Climate Action Tracker (secondary) states the 2035 NDC 'sets a 30% renewable electricity target in 2035, which represents a step back from the 30% target originally outlined in its updated 2030 NDC from 2021' — i.e., the official renewable electricity target has not increased at all over five additional years. This starkly contrasts with independent modelling (CGS/SFOC High Ambition pathway, secondary): renewable generation could realistically rise from 10% (2024) to 49% by 2030 and 67% by 2035 with 15 GW/year of buildout, while South Korea's own 11th Basic Electricity Plan (BEP) targets only 22% by 2030 and 33% by 2038.",IPCC AR6 WGIII Ch.6; SPM.3,1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-093,South Korea,D2,Net Zero Pathway,South Korea's 2035 NDC (Dec 2025); Framework Act on Carbon Neutrality and Green Growth (2021),"NDC sets an absolute, economy-wide target of 53–61% below 2018 levels by 2035 (incl. LULUCF), reaffirming net zero by 2050 under the Carbon Neutrality Act (South Korea was the 14th country to legislate this). At COP30, South Korea joined the Powering Past Coal Alliance and committed to phase out coal by 2040, retiring 40 of 61 coal plants. Climate Action Tracker (secondary) assesses the target as 'not 1.5°C-aligned... based on the upper end of the target range,' with the ambition gap 'only marginally narrowed compared to its 2030 commitment,' and flags that 'the lack of transparency on its intended use of international carbon credits... leaves the level of domestic mitigation implied by the target unclear.'",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-094,South Korea,D3,Methane Reduction,South Korea's 2030 Methane Emissions Reduction Roadmap (in line with GMP); COP29 Declaration on Reducing Methane from Organic Waste (signed 2024),"South Korea has a detailed, sectorally-disaggregated methane roadmap targeting a reduction from 28 MtCO2e (2018) to 19.7 MtCO2e (2030) — a 30% cut in line with the Global Methane Pledge — broken down into 2.5 MtCO2e from agriculture, 4 MtCO2e from waste, and 1.8 MtCO2e from energy. However, independent academic analysis (SFOC, secondary) finds this target 'risks falling short of its methane budget aligned with the 1.5°C temperature limit,' estimating South Korea's actual responsibility should be 'more than twice its current target' (18 MtCO2e below 2018 levels, vs. the current ~8.3 MtCO2e reduction), and criticises the roadmap for lacking any measures beyond 2030.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,,Exploratory 119-cell review
GC-095,South Korea,D4,Adaptation Finance,"National Climate Change Adaptation Plans (2010, 2015 cycles); South Korea's Mid-term Strategy for Development Cooperation 2021–2025; 2023 ODA reporting","South Korea has maintained formal National Climate Change Adaptation Plans since 2010 (among the earliest such plans reviewed). Internationally, 2023 bilateral ODA data (Donor Tracker, secondary) shows 74.5% of South Korea's climate-related ODA tagged with the mitigation marker and 72.7% tagged with the adaptation marker (overlapping categories), with USD 1.4 billion tagged as serving both mitigation and adaptation. The Mid-term Strategy commits to increasing ODA climate financing via the Green New Deal fund and GCF partnerships.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",,Exploratory 119-cell review
GC-096,South Korea,D5,Loss and Damage,South Korea's 2035 NDC (Dec 2025); international climate cooperation profile,"No specific loss-and-damage finance need, liability/compensation reference, domestic L&D framework, or named contribution to the international Loss and Damage Fund was found for South Korea across multiple searches covering its adaptation and international climate finance profile, despite South Korea's substantial and well-documented broader climate finance activity (GCF, GGGI, bilateral ODA).",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-097,South Korea,D6,Transport Sector Targets,"South Korea's 2035 NDC (Dec 2025), sector-specific targets; Ministry of Climate, Energy and Environment vehicle GHG/fuel-efficiency regulation revisions (2027–2030 phase-in)","The NDC includes an explicit transport-sector target of 60.2–62.8% emissions reduction by 2035 (from 98.8 MtCO2e in 2018 to roughly 36.8 MtCO2e), 'reiterated in its submission to the UNFCCC' (Climate Action Tracker, primary/secondary). This is paired with a new-vehicle sales-share target of 40% electric/hydrogen by 2030 and 70% by 2035, and newly mandatory (replacing voluntary) emissions-reduction requirements for medium/heavy-duty commercial vehicles phasing in 2027–2030. The government has 'not set a specific date to end production of internal combustion cars' (Eco-Business, secondary).",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,Potential post-cut-off source/date,Exploratory 119-cell review
GC-098,South Korea,D7,LULUCF and Carbon Sinks,South Korea's 2035 NDC (Dec 2025),"The NDC target of 53–61% below 2018 (incl. LULUCF) is only marginally different from 51–59% excluding LULUCF (CAT, secondary) — a relatively modest 2-percentage-point swing, in contrast to countries where excluding LULUCF changes the headline figure dramatically (e.g., Russia's target swings from 33–35% incl. LULUCF to 27–33% excl.). No separately disclosed, quantified forest/land-sink target beyond this embedded contribution was found.",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-099,Türkiye,D1,Renewable Energy Targets,"Roadmap for Renewable Energy to 2035 (Republic of Türkiye Ministry of Energy and Natural Resources, Oct 2024)","Türkiye plans to quadruple wind and solar capacity to 120 GW by 2035 (160 GW incl. hydro/biomass), with 7.5–8 GW/year of new buildout, USD 108 billion in capacity investment, and USD 28 billion for grid upgrades. The long-term goal (2053) is for renewables to reach 69.1% of electricity supply, up from 42.4% in 2020. Currently (2024), wind and solar supply 18% of generation; including hydro and geothermal, non-fossil sources reach 45%. However, Climate Analytics (secondary) notes Türkiye 'is the largest producer of coal-fired electricity in Europe and is pouring money into oil and gas drilling' in parallel.",IPCC AR6 WGIII Ch.6; SPM.3,"1.5–<2°C pathways: low-carbon sources ~93–97% of global electricity by 2050. Climate Action Tracker's Türkiye-specific benchmark (secondary): 'to align with 1.5°C, Türkiye needs to effectively phase out fossil fuels from the power sector in the 2030s, providing almost 100% renewable electricity by 2035.'",,Exploratory 119-cell review
GC-100,Türkiye,D2,Net Zero Pathway,"Türkiye's Second NDC (NDC 3.0, submitted UNFCCC Nov 9, 2025); Long-Term Strategy (LTS, submitted COP29 2024); Climate Law (July 2025)","NDC 3.0 limits emissions to 643 MtCO2e by 2035 (a 41–42% reduction from a BAU reference scenario) — but Climate Action Tracker (secondary) notes this is '32% above 2022 levels,' and independent modelling (Istanbul Policy Center, secondary) finds a pure 'do nothing new' business-as-usual trajectory would reach 655 MtCO2e by 2035, 'almost exactly' matching the government's pledge; Climate Home News (secondary) calls it 'a pledge to deliver a controlled increase rather than a reduction.' Net zero is targeted for 2053, now legally codified in the July 2025 Climate Law, but the LTS 'reiterates the NDC goal of peaking emissions only by 2038 at the latest' (CAT, secondary) — CAT notes reaching net zero just 15 years after peaking 'would require annual reductions exceeding 10 percent... no country has ever sustained such rapid decarbonization.'",IPCC AR6 Synthesis Report SPM B.6; WGIII Ch.3,"1.5°C (no/limited overshoot) pathways reach net-zero CO2 in the early 2050s, with GHG cuts of 43% [34–60%] by 2030 and 84% [73–98%] by 2050 vs 2019.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-101,Türkiye,D3,Methane Reduction,"Global Methane Pledge (non-signatory); COP29 Declaration on Reducing Methane from Organic Waste (ROW, signed); Türkiye's COP31 draft action agenda (2026)","Türkiye has not signed the Global Methane Pledge — GAIA (secondary, joint NGO declaration) states Türkiye 'remains one of the few major economies that has not signed the Global Methane Pledge — an important accountability gap,' while noting the 'contradiction' of Türkiye simultaneously prioritizing waste-sector methane as its top COP31 action-agenda item (led personally by the Turkish First Lady). Türkiye did sign the COP29 ROW Declaration on organic waste methane, but GAIA explicitly calls on Türkiye to 'set quantified methane reduction targets for the waste sector with clear interim milestones' — indicating none currently exist.",IPCC AR6 Synthesis Report SPM B.6.2,1.5°C (>50%) no/limited-overshoot pathways: global methane emissions reduced 34% [21–57%] by 2030 relative to 2019.,,Exploratory 119-cell review
GC-102,Türkiye,D4,Adaptation Finance,"Climate Change Adaptation Strategy and Action Plan (CCASAP, 2024–2030); predecessor NASAP (2011–2023)","CCASAP is a comprehensive adaptation framework: 40 strategic goals and 129 actions across agriculture/food security, biodiversity, water resources, tourism, industry, urban areas, public health, transport, energy, and disaster risk reduction, built on country-specific climate projections and sector-by-sector vulnerability/risk analyses. No specific quantified adaptation finance figure (domestic or international) was found attached to this strategy across multiple searches. Türkiye's UNFCCC-recognized 'special circumstances' status (per 2010–2014 COP decisions) positions it as seeking international support rather than providing it.","IPCC AR6 WGII SPM C.3, C.5","AR6 WGII documents a widening adaptation finance gap; most tracked climate finance still goes to mitigation, and adaptation finance falls short of documented needs in developing countries.",,Exploratory 119-cell review
GC-103,Türkiye,D5,Loss and Damage,Türkiye's Second NDC (Nov 2025); COP31 hosting preparations,"No specific Turkish national loss-and-damage finance commitment, liability/compensation reference, or fund contribution was found. Türkiye is set to host COP31 as an 'implementation COP' and will inherit the global COP30 package (which includes operationalizing the Loss and Damage Fund and tripling adaptation finance by 2035), but this reflects the broader multilateral outcome Türkiye will preside over, not a specific Turkish national commitment. Advocacy pieces (e.g., Caspianpost, secondary) explicitly urge Türkiye to prioritize L&D-adjacent issues (fragile-state adaptation finance) at COP31 — framed as a future opportunity, not an existing commitment.",IPCC AR6 WGII SPM B,"AR6 WGII recognizes losses and damages as escalating, unequally distributed, and worsening with each increment of warming, with hard/soft adaptation limits already reached in some systems.",Potential post-cut-off source/date,Exploratory 119-cell review
GC-104,Türkiye,D6,Transport Sector Targets,"Republic of Türkiye Ministry of Transport and Infrastructure sectoral targets (via Climate Action Tracker, secondary)","Türkiye has a specific, quantified modal-shift target: increasing rail's share of passenger transport to 5.31% and of freight transport to 20.12% by 2035, up from 2019 levels of 0.89% and 3.13% respectively. Separately, EV market share is reported to be 'approaching 20 percent' as of 2025 (Istanbul Policy Center, secondary), though this appears to reflect organic market growth rather than a stated binding target. No absolute transport-sector emissions-reduction percentage was found.",IPCC AR6 WGIII Ch.10,1.5°C (no/limited overshoot) pathways require a 59% [42–68%] reduction in transport CO2 by 2050 vs modelled 2020 levels; light-duty-vehicle electrification is the leading near-term lever.,,Exploratory 119-cell review
GC-105,Türkiye,D7,LULUCF and Carbon Sinks,Türkiye's National Inventory Document (2024); Climate Action Tracker policy analysis (secondary),"Türkiye's LULUCF sink was just 56 MtCO2 in 2022 against total emissions of 502 MtCO2 (incl. LULUCF) — already a small sink relative to total emissions — and Climate Action Tracker (secondary) states 'the sink is diminishing... due in large part to the government's increase in wood production,' compounded by 'increasingly severe wildfires in recent years, which show no signs of stopping.' Türkiye did meet its target of 30% forest land cover by 2023 and signed the COP26 forestry pledge, though 'the updated NDC does not specifically mention the declaration.'",IPCC AR6 WGIII Ch.7 (AFOLU),"AFOLU can provide 20–30% of global mitigation needed for 1.5/2°C pathways to 2050 (~8–14 GtCO2e/yr economic potential), led by forest/ecosystem protection; the chapter flags long-term additionality and permanence uncertainty for land-sink-heavy strategies.",,Exploratory 119-cell review
