Question Number,Question ID,Category,Difficulty,Original Evaluation Question,Cleaned Question for Future Use,Question Wording Changed?,Original Author-Prepared Reference Answer,Reviewer Answer,Original Review Outcome,Reviewer Notes,Final Adjudicated Reference Answer,Disposition,Adjudication Rationale,Adjudicated Source Basis,Adjudication Status,Reviewer Confirmation of Final Answer,Reference Set Version
60,G005,GAP DETECTION,HARD,"Which G20 NDC2 submissions in the corpus include coal phase-out commitments, and how does this compare to IPCC guidance?","Which G20 NDC2 submissions in the corpus include coal phase-out commitments, and how does this compare to IPCC guidance?",No,"IPCC AR6 WG3 states that coal in electricity generation must be reduced by 59-78% by 2030 in 1.5°C pathways. Among G20 NDC2 submissions: UK commits to unabated coal exit by 2024 (strongest commitment). The EU references the Green Deal's coal phase-down. Canada commits to no new coal plants and coal phase-out by 2030. Australia and Japan do not include coal phase-out commitments in their NDC2 texts. China, India, Indonesia, and South Africa — as major coal users — make no coal phase-out commitments. GAP: The majority of coal-producing/using G20 nations lack coal phase-out commitments consistent with IPCC guidance.","UK (phase out unabated coal by 2024), Canada (coal phase-out by 2030), and South Korea (coal phase-down + ban on new coal plants) have explicit coal commitments in their NDC2s. China has only partial pledges (no new overseas coal, phase out outdated capacity domestically). India, Indonesia, South Africa, Australia, Japan, and the EU include no coal phase-out commitment. IPCC WG3 calls for coal use without CCS to fall 67–82% by 2030 in 1.5°C pathways only UK, Canada, and South Korea align directionally; most G20 coal users fall short.
Source: NDC2_2022_UK.pdf (p.17); NDC2_2021_Canada.pdf (p.26); NDC2_2021_South_Korea.pdf (pp.2,24); NDC2_2021_China.pdf (pp.5,17,51); NDC2_2020_EU.pdf (no coal mention); WG3_TechnicalSummary_2022.pdf (p.43)",Partial,"UK/Canada and the ""no commitment"" countries are correctly identified, but the IPCC figure is wrong (67–82%, not 59–78%), the EU has no coal mention at all (no Green Deal reference exists in its NDC2), South Korea's commitment was omitted, and China is mischaracterized as having no commitment when it has narrower pledges.","The United Kingdom commits to phase out unabated coal power by 2024 and Canada by 2030. South Korea describes coal phase-down, closure of ageing plants and a ban on new coal plants but does not give a complete phase-out year. Most other assessed NDCs do not contain a comparable coal-power phase-out commitment. IPCC AR6 reports that unabated coal use in electricity falls by roughly 67-82% by 2030 in 1.5°C pathways, so the principal gap is the limited number of dated, economy-relevant coal-exit commitments in the NDC corpus.",Revise,Corrected the IPCC range and distinguished phase-down from a dated phase-out.,"NDC2_2022_UK, coal passages; NDC2_2021_Canada, coal passages; NDC2_2021_South_Korea, power-sector passages; WG3_SPM_2022, coal pathway table",Adjudicated,Not obtained,v1.0
61,G006,GAP DETECTION,HARD,Identify three G20 NDC2 commitments that are vague and lack measurability compared to IPCC quantified recommendations.,Identify three G20 NDC2 commitments that are vague and lack measurability compared to IPCC quantified recommendations.,No,"Three examples of vague NDC2 commitments: (1) Russia's target is conditional on 'maximum possible accounting' of forest absorption without defining this clearly. (2) Saudi Arabia's circular carbon economy approach references carbon capture and utilisation without specific technology targets or timelines. (3) Argentina's conditional target of 369 MtCO2e lacks clarity on which sectors bear the conditional portion. In contrast, IPCC AR6 provides specific sectoral benchmarks (e.g., 70-85% renewable electricity by 2050) that allow clear progress measurement.","Examples of vague/unmeasurable G20 NDC2 commitments: (1) Russia sets a 65–67% reduction target by 2035 ""taking into account the maximum possible absorptive capacity of forests,"" an undefined qualifier with no quantified forest-sink value. (2) Saudi Arabia's ""circular carbon economy"" approach references carbon capture, utilisation and storage without specific deployment targets or timelines. (3) Argentina's headline target is actually unconditional and quantified net emissions not to exceed 349 MtCO2e by 2030 so it does not qualify as a vague example; the ""369 MtCO2e conditional"" claim is not supported by the document text.
Source: NDC2_2022_Russia.pdf (pp.3,29); NDC2_2021_Saudi_Arabia.pdf (pp.6,10-11); NDC2_2021_Argentina.pdf (p.6)",Partial,"Russia and Saudi Arabia examples are accurate. Argentina is wrong — the actual target is an unconditional 349 MtCO2e cap by 2030 (not 369, not conditional), so it isn't a valid example of vagueness; a third example would need to be sourced elsewhere in the corpus.","Three source-supported examples are: (1) Russia's target relies on the 'maximum possible' absorption capacity of forests and ecosystems without a quantified accounting ceiling; (2) Saudi Arabia describes Circular Carbon Economy, CCUS and sectoral technology directions without deployment quantities or a complete time-bound sector pathway; and (3) China states that coal consumption will be strictly controlled and then phased down across planning periods without quantifying the domestic coal-reduction amount in the NDC. Each gives a policy direction, but the missing quantities, scopes or milestones limit measurability against the IPCC's quantified pathways.",Revise,Replaced the incorrect Argentina example with a source-supported Chinese example.,"NDC2_2022_Russia, target-accounting passages; NDC2_2021_Saudi_Arabia, CCUS/CCE sections; NDC2_2021_China, pp. 4, 40",Adjudicated,Not obtained,v1.0
62,G007,GAP DETECTION,HARD,What is the gap between G20 NDC2 transport sector commitments and IPCC AR6 WG3 transport decarbonisation recommendations?,What is the gap between G20 NDC2 transport sector commitments and IPCC AR6 WG3 transport decarbonisation recommendations?,No,IPCC AR6 WG3 Chapter 10 recommends a 59-84% reduction in transport emissions by 2050 vs 2020 for 1.5°C pathways. Most G20 NDC2 submissions treat transport as part of economy-wide targets without sector-specific transport emission reduction percentages. South Korea provides specific EV targets. The UK commits to ending petrol/diesel vehicle sales by 2030. Most emerging G20 economies provide no transport-specific targets. GAP: The vast majority of G20 NDC2 submissions lack quantified transport sector decarbonisation targets consistent with IPCC's transport pathway requirements.,"The IPCC WG3 SPM states global transport CO2 emissions must fall by 59% (42–68% interquartile range) by 2050 relative to 2020 in 1.5°C pathways not ""59–84%,"" and there is no standalone ""Chapter 10"" document in this corpus (only SPM/TS references to it). Among G20 NDC2s, the UK is the clearest transport commitment, ending sales of new petrol and diesel vehicles by 2030. South Korea mentions it has ""markedly raised"" its 2030 zero-emission vehicle deployment target but does not state a specific number or percentage in its NDC2 text so it is not actually a quantified target. Most other G20 NDC2s (India, Indonesia, China, Brazil, etc.) treat transport within economy-wide targets with no sector-specific transport emissions percentage.
Source: WG3_SPM_2022.pdf (p.36); NDC2_2022_UK.pdf (p.17); NDC2_2021_South_Korea.pdf (p.3)",Partial,"UK's commitment and the broad ""most G20 lack quantified transport targets"" conclusion are correct, but the IPCC figure is wrong (59%, 42–68% range not 59–84%), the cited ""WG3 Chapter 10"" document doesn't exist standalone in the corpus, and South Korea's ""specific EV target"" claim is unsupported its NDC2 gives no actual number.","IPCC AR6 reports that global transport CO2 emissions fall about 59% by 2050 relative to modelled 2020 emissions in the relevant 1.5°C pathways, with an interquartile range of roughly 42-68%. The United Kingdom has a clear vehicle-sales phase-out commitment, while many other G20 NDCs contain EV, public-transport or modal-shift measures but no quantified total transport-emissions pathway. Because EV sales, fleet shares and modal targets cannot be converted directly into total transport emissions without a documented model, the central gap is the absence of comparable sector-wide emissions targets and implementation pathways.",Revise,Corrected the IPCC range and aligned the answer with the completed D6 source audit.,"WG3_SPM_2022, transport pathway table; NDC2_2022_UK, p. 17; D6 evidence audit across the NDC corpus",Adjudicated,Not obtained,v1.0
63,G008,GAP DETECTION,HARD,Which sectors required by IPCC AR6 for deep decarbonisation are absent or underrepresented in Saudi Arabia's NDC2?,Which sectors required by IPCC AR6 for deep decarbonisation are absent or underrepresented in Saudi Arabia's NDC2?,No,"Saudi Arabia's NDC2 focuses primarily on energy efficiency and renewables within the country's economic diversification agenda, with a 278 MtCO2e reduction target. Missing or underrepresented elements include: (1) No aviation or shipping decarbonisation targets despite being a major oil exporter with significant bunker fuel exports. (2) No explicit industrial process decarbonisation beyond circular carbon economy. (3) No land use or forestry sector commitments. (4) No adaptation finance commitments for vulnerable nations. IPCC AR6 identifies all these as critical for 1.5°C.","Saudi Arabia's NDC2 actually does reference aviation, shipping, petrochemicals, and steel as future blue-hydrogen/CCUS target sectors, plans industrial decarbonisation via CCUS hubs in Jubail and Yanbu, and includes land-based actions (Saudi Green Initiative tree planting, mangrove/blue-carbon protection, desertification management) contrary to the existing claims. The real gap is the absence of any outward adaptation finance commitment to other vulnerable nations; Saudi only states its own NDC implementation is ""not contingent on receiving international financial support.""
Source: NDC2_2021_Saudi_Arabia.pdf (pp.4-8, 11)",None,"3 of 4 claimed gaps are factually wrong (aviation/shipping, industrial process, and land/forestry are all mentioned in the document); only the ""no adaptation finance for vulnerable nations"" point holds.","Saudi Arabia's NDC does address aviation, shipping, petrochemicals, steel, CCUS hubs and land-based actions such as tree planting and mangrove or blue-carbon protection. These sectors should therefore not be described as absent. The supported gap is one of quantification and coverage: the NDC does not provide complete sector-specific emissions trajectories or deployment volumes for these measures, and it contains no outward adaptation-finance commitment for vulnerable countries; it states that its own implementation is not contingent on receiving international finance.",Reconstruct,Corrected three sector-absence claims contradicted by the document and reframed the gap as incomplete quantification.,"NDC2_2021_Saudi_Arabia, pp. 4-8, 11",Adjudicated,Not obtained,v1.0
66,G011,GAP DETECTION,HARD,Does Australia's 43% reduction by 2030 align with IPCC's recommended pathway for advanced economies?,Does Australia's 43% reduction by 2030 align with IPCC's recommended pathway for advanced economies?,No,"IPCC AR6 WG3 requires global GHG emissions to fall 43% below 2019 levels by 2030 for 1.5°C. For developed economies with higher historical emissions and greater capacity, the IPCC and Climate Action Tracker suggest deeper cuts of 50-70% by 2030. Australia's 43% reduction is measured below 2005 levels, not 2019. Australia's 2019 emissions were approximately 5% above 2005, meaning the actual 2030 target in absolute terms is approximately 38-40% below 2019. GAP: Australia's NDC2 target falls short of the IPCC-implied requirement for advanced economies by approximately 10-30 percentage points.","Australia's NDC2 target is confirmed as 43% reduction below 2005 levels by 2030 (not 2019), while IPCC WG3 SPM states global GHG emissions must fall 43% [34–60%] below 2019 levels by 2030 for 1.5°C pathways so the headline ""43%"" figures use different baseline years and aren't directly comparable. However, the corpus contains no IPCC-sourced ""50–70% for developed economies"" benchmark, and no Australia 2019 emissions figure to support the claimed ""~38-40% below 2019"" recalculation both are external/unverifiable within these documents.
Source: NDC2_2022_Australia.pdf (pp.3,7); WG3_SPM_2022.pdf (p.21)",Partial,"The core insight (43% Australia is measured against 2005, not the IPCC's 2019 baseline) is correctly identified and document-supported, but the ""50-70% for developed economies"" IPCC benchmark and the ""38-40% below 2019"" recalculated figure are not found anywhere in the provided documents they appear to be external estimates, not document-sourced.","Australia's target is 43% below 2005 by 2030, whereas the IPCC's approximately 43% pathway value is a global reduction below 2019 by 2030. The matching headline percentage does not establish alignment because the base year, national/global scope and accounting context differ. The corpus contains no country-specific IPCC benchmark for an 'advanced economy' and no source-grounded conversion of Australia's target to a 2019 basis, so the result should be classified as not directly comparable rather than aligned or misaligned.",Clarify,Removed external developed-country ranges and an unsupported rebaselining calculation.,"NDC2_2022_Australia, pp. 3, 7; WG3_SPM_2022, p. 21",Adjudicated,Not obtained,v1.0
68,G013,GAP DETECTION,HARD,What implementation gaps exist between Mexico's NDC2 stated targets and its domestic policy framework?,What implementation gaps exist between Mexico's NDC2 stated targets and its domestic policy framework?,No,"Mexico's NDC2 targets 35% unconditional GHG reduction by 2030. However, Mexico's domestic energy policy under the 2021-2024 administration reversed renewable energy expansion in favour of state oil company PEMEX and state electricity utility CFE. Mexico's actual renewable energy share declined in 2019-2022. This creates a significant implementation gap between NDC2 pledges and domestic policy direction. The NDC2 text does not reference specific domestic legislation anchoring the targets.","Mexico's NDC2 sets a 35% reduction target by 2030, but it is not unconditional it's funded by at least 30% domestic resources plus 5% international finance, with a separate conditional tier up to 40%. The NDC2 does cite domestic legislation, anchoring policies to Mexico's General Climate Change Law (2013). PEMEX and CFE appear only as implementing entities for mitigation actions, not as obstacles reversing renewables that narrative isn't in the document.
Source: NDC2_2022_Mexico.pdf (pp.9, 12, 14)",None,"the ""unconditional 35%"" framing is wrong (it's part domestic, part internationally-funded, with a separate conditional 40% target), the claim of ""no domestic legislation referenced"" is directly contradicted by the General Climate Change Law citation, and the PEMEX/CFE-reversal/declining-renewables claim has no support in this document.","Mexico's NDC sets a 35% 2030 reduction composed of at least 30 percentage points from domestic resources and 5 from international cooperation or finance, with a conditional increase to 40%. It also cites the General Climate Change Law and identifies implementing institutions and actions. The NDC alone does not support the claim that PEMEX or CFE policies reverse renewable progress, nor does it permit an ex-post judgement of implementation performance. The document-grounded gap is that many measures lack complete milestones, budgets or outcome indicators linking them to delivery of the headline target.",Reconstruct,Corrected the target structure and replaced unsupported domestic-policy claims with a document-grounded implementation-specificity gap.,"NDC2_2022_Mexico, pp. 9, 12, 14 and implementation sections",Adjudicated,Not obtained,v1.0
69,G014,GAP DETECTION,HARD,Which sectors required for deep decarbonisation by IPCC AR6 are missing from Russia's NDC2?,Which sectors required for deep decarbonisation by IPCC AR6 are missing from Russia's NDC2?,No,Russia's NDC2 focuses primarily on economy-wide emission reduction through efficiency improvements and LULUCF. Missing elements relative to IPCC AR6 requirements include: (1) No renewable energy targets — Russia relies primarily on nuclear and gas. (2) No transport electrification targets. (3) No industrial process decarbonisation roadmap. (4) No methane reduction target despite Russia being one of the world's largest methane emitters from oil and gas operations. IPCC AR6 WG3 identifies all these sectors as requiring deep decarbonisation.,"All four sectors claimed ""missing"" actually appear in Russia's NDC2, just without quantified targets: renewable energy (solar, wind, hydropower) development is referenced (pp.9,11-12,20), ""electrification of transport"" is a stated LT-LEDS measure (p.9), industrial decarbonisation actions are described (coal sector, CCUS, hydrogen), and methane-reduction actions exist (oil/gas flaring and leak reduction, plus joining the 2024 ""Declaration on Reducing Methane Emissions from Organic Waste,"" p.23). The real gap is lack of quantified numeric targets for these sectors not their absence.
Source: NDC2_2022_Russia.pdf (pp.9, 11-12, 20, 23)",None,"All four claimed absences are factually wrong renewable energy, transport electrification, industrial decarbonisation, and methane-reduction actions are all explicitly mentioned in Russia's NDC2. The true gap is lack of quantified targets for these sectors, not their complete absence as the existing answer states.","Russia's NDC includes renewable-energy development, transport electrification, industrial decarbonisation measures, hydrogen and CCUS, and methane-related actions. These sectors are therefore not absent. The main gap is that the NDC provides few quantified sector-specific targets, deployment volumes or dated milestones that can be compared with IPCC sector pathways. The appropriate conclusion is under-specification rather than missing-sector coverage.",Reconstruct,Corrected all four false absence claims and reframed the gap around quantification.,"NDC2_2022_Russia, pp. 9, 11-13, 20, 23",Adjudicated,Not obtained,v1.0
70,G015,GAP DETECTION,HARD,"Does South Korea's 2030 target of 40% below 2018 BAU align with IPCC requirements for developed economies, and what specific gaps exist?","How does South Korea's 2030 target compare with the global IPCC 1.5°C pathway, and what source-supported gaps remain?",Yes,"South Korea's 40% below 2018 BAU target converts to approximately 24% below actual 2018 emission levels (as BAU is higher than actual). IPCC AR6 recommends approximately 50% below current levels for developed economies by 2030. Specific gaps in South Korea's NDC2: (1) Heavy reliance on LNG as transition fuel without a phase-out date. (2) No explicit coal phase-out year despite coal representing 40% of electricity. (3) Nuclear power counts toward non-fossil targets, potentially masking renewable energy gaps. GAP: The effective reduction below actual emissions falls short of IPCC guidance for an advanced economy.","South Korea's target is 40% reduction from actual 2018 emissions (727.6 MtCO2eq) the NDC2 explicitly states it replaced its earlier BAU-based target with this absolute target, so the ""BAU conversion to ~24%"" claim is invalid. Real, supported gaps: aged coal plants are to shut down or shift to LNG with no LNG phase-out date; coal was ~40% of the power mix with a ban on new coal plants but no explicit phase-out year; and nuclear power is not mentioned anywhere in the document, so the ""nuclear masking renewables"" claim is unsupported.
Source: NDC2_2021_South_Korea.pdf (pp.1-2, 8-9, 24)",Partial,"coal/LNG gaps are accurate, but the core baseline claim is wrong (target is 40% below actual 2018 emissions, not BAU), invalidating the recalculated ""~24%"" figure, and the nuclear-power claim has no textual support.","South Korea's target is a 40% reduction from actual 2018 emissions of 727.6 MtCO2e, not from a BAU projection. It is not directly comparable with the IPCC's global 43% reduction from 2019 because the baselines and scopes differ. Document-supported gaps include the absence of a full coal phase-out year, reliance on replacing some ageing coal capacity with LNG without an LNG phase-out date, and limited directly comparable sector-wide pathway metrics. The source does not support the original BAU conversion or the claim that nuclear power masks renewable ambition.",Reconstruct,Corrected the target baseline and removed unsupported conversion and nuclear claims.,"NDC2_2021_South_Korea, pp. 1-2, 8-10, 24; WG3_SPM_2022, p. 21",Adjudicated,Not obtained,v1.0
71,G016,GAP DETECTION,HARD,Assess the gap between G20 NDC2 carbon capture and storage (CCS) commitments and IPCC AR6 recommendations for CCS deployment.,Assess the gap between G20 NDC2 carbon capture and storage (CCS) commitments and IPCC AR6 recommendations for CCS deployment.,No,IPCC AR6 WG3 identifies CCS as potentially contributing 1.5-9.5 GtCO2 per year by 2050 in various mitigation pathways. Most G20 NDC2 submissions do not specify CCS deployment targets. Saudi Arabia mentions circular carbon economy including carbon capture but without specific capacity targets. The USA references CCS in its clean energy strategy. Japan mentions CCS as part of its decarbonisation roadmap. No G20 NDC2 includes a CCS deployment target in GtCO2. GAP: Substantial disconnect between IPCC's role for CCS and actual NDC2 CCS commitments.,"IPCC WG3 gives an annual CDR figure for BECCS specifically of 0.52–9.45 GtCO2/yr by 2050 (not a generic ""1.5–9.5 GtCO2 CCS"" range). Saudi Arabia references CCUS (circular carbon economy, planned hubs) without capacity targets, and the USA mentions carbon capture in its clean energy strategy both accurate. However, Japan's NDC2 has no mention of CCS, carbon capture, or sequestration at all. No G20 NDC2 specifies a quantified CCS deployment target.
Source: WG3_TechnicalSummary_2022.pdf (p.68); NDC2_2021_Saudi_Arabia.pdf (pp.6,11); NDC2_2021_USA.pdf (p.4); NDC2_2021_Japan.pdf (no CCS mention)",Partial,"Saudi Arabia/USA mentions and the ""no quantified CCS targets"" conclusion are correct, but the IPCC figure is imprecise (it's BECCS-specific, not generic CCS), and the claim that Japan mentions CCS is false — it appears nowhere in Japan's NDC2.","IPCC AR6 treats CCS and carbon-dioxide removal as important in some industrial and energy pathways, but the 0.52-9.45 GtCO2 per year figure in the cited source refers specifically to BECCS removal, not generic CCS deployment. Saudi Arabia describes CCUS and planned hubs, and the United States includes carbon capture in its clean-energy strategy; Japan's assessed NDC does not explicitly mention CCS. Across the corpus, NDCs generally lack quantified capture capacity, storage volumes, commissioning dates and sector deployment trajectories. The gap is therefore one of measurable deployment detail rather than complete absence of CCS references.",Revise,Distinguished BECCS from generic CCS and removed the unsupported Japan example.,"WG3_TechnicalSummary_2022, p. 68; NDC2_2021_Saudi_Arabia, pp. 6, 11; NDC2_2021_USA, p. 4; NDC2_2021_Japan",Adjudicated,Not obtained,v1.0
73,G018,GAP DETECTION,HARD,"What is the collective conditional versus unconditional gap across G20 NDC2 developing nations, and what does this mean for global ambition?","What is the collective conditional versus unconditional gap across G20 NDC2 developing nations, and what does this mean for global ambition?",No,"Indonesia (31.89% vs 43.20%), Mexico (35% vs 40%), and India (all targets conditional) represent the largest conditional gaps among G20 developing nations. If only unconditional targets are achieved, the collective emissions reduction is substantially less than if conditional targets are met. The gap between conditional and unconditional G20 NDC2 targets represents approximately 2-4 GtCO2e per year in 2030 emissions. This gap is primarily a finance and technology transfer gap, not an ambition gap in the developing nations' own commitments.","Indonesia's actual split is 29% unconditional vs 41% conditional of BAU not ""31.89% vs 43.20%"" (that figure doesn't appear in the document). Mexico's figures are roughly accurate (35% domestic+partial international, rising to conditional 40%). India's NDC2 doesn't use formal ""conditional/unconditional"" terminology at all, unlike Indonesia's CM1/CM2 structure it just discusses general finance/resource gaps. The ""~2–4 GtCO2e/year"" aggregate gap figure appears nowhere in any document.
Source: NDC2_2022_Indonesia.pdf (pp.3,11,16,20); NDC2_2022_Mexico.pdf (p.9); NDC2_2022_India.pdf (p.3)",None,"Indonesia's percentages are wrong, India is mischaracterized as having a formal conditional-target split it doesn't use, and the ""2-4 GtCO2e/year"" figure has no source in the corpus; only Mexico's figures hold up.","Indonesia has a 29% unconditional and up to 41% conditional reduction below BAU, a 12-percentage-point difference. Mexico has a 35% target with a domestic/international composition and a conditional increase to 40%. India does not use a comparable economy-wide conditional/unconditional split, although it identifies finance and technology-transfer needs for specific commitments. Because the NDCs use different baselines and target structures, the corpus does not support a single aggregate 2-4 GtCO2e conditionality gap. The defensible conclusion is that a material share of developing-country ambition depends on international support, but its collective magnitude cannot be derived directly from these texts.",Reconstruct,Corrected Indonesia and India and removed an unsupported aggregate emissions estimate.,"NDC2_2022_Indonesia, pp. 16, 20-22; NDC2_2022_Mexico, p. 9; NDC2_2022_India, p. 3",Adjudicated,Not obtained,v1.0
74,G019,GAP DETECTION,HARD,Assess the gap between G20 NDC2 industrial decarbonisation commitments and IPCC AR6 guidance for heavy industry.,Assess the gap between G20 NDC2 industrial decarbonisation commitments and IPCC AR6 guidance for heavy industry.,No,"IPCC AR6 WG3 identifies steel, cement, and chemicals as requiring deep decarbonisation through electrification, hydrogen, and CCS. Few G20 NDC2 submissions provide sector-specific industrial decarbonisation targets. Japan's NDC2 references the Green Innovation Fund for industrial transformation. South Korea mentions industrial sector efficiency. The EU references the Industrial Strategy and Carbon Border Adjustment Mechanism. China, India, Brazil, and most other G20 nations treat industry under economy-wide targets without sector-level quantification. GAP: Industrial decarbonisation is systematically absent from most G20 NDC2 texts.","IPCC WG3 SPM identifies steel, cement, and chemicals as needing electrification, hydrogen, and CCS (pp.32-43); no dedicated industry chapter exists in this corpus. South Korea's NDC2 is actually quite specific naming steelmaking, petrochemicals, cement, with electric furnaces, naphtha-cracker shifts, and a cement energy-saving target (p.2). However, Japan's ""Green Innovation Fund"" appears nowhere in its NDC2, and the EU's NDC2 has no reference to ""Industrial Strategy"" or CBAM both claims are unsupported. China, India, and Brazil do treat industry within economy-wide targets without sector-level quantification.
Source: WG3_SPM_2022.pdf (pp.32-43); NDC2_2021_South_Korea.pdf (p.2); NDC2_2021_Japan.pdf (no mention); NDC2_2020_EU.pdf (no mention)",Partial,"the IPCC framing and broad ""most G20 lack sector-specific industrial targets"" conclusion hold, but the Japan ""Green Innovation Fund"" and EU ""Industrial Strategy/CBAM"" citations have no support in either document, and South Korea's commitments are more specific than the answer suggests.","IPCC AR6 identifies electrification, material and energy efficiency, hydrogen and CCS among the major routes for decarbonising steel, cement and chemicals. South Korea's NDC contains relatively specific measures for steel, petrochemicals and cement, whereas many other NDCs treat industry inside economy-wide targets without quantified sector emissions trajectories. The assessed Japan and EU NDCs do not support the original references to the Green Innovation Fund, an Industrial Strategy or CBAM in this comparison. The main gap is the limited number of quantified, time-bound heavy-industry roadmaps in the NDC texts.",Revise,Corrected unsupported policy references and recognized South Korea's greater sector detail.,"WG3_SPM_2022, industry passages; NDC2_2021_South_Korea, p. 2; NDC2_2021_Japan; NDC2_2020_EU",Adjudicated,Not obtained,v1.0
75,G020,GAP DETECTION,HARD,How does the distribution of G20 NDC2 ambition levels relate to historical cumulative emissions and the equity principle in IPCC AR6?,How does the distribution of G20 NDC2 ambition levels relate to historical cumulative emissions and the equity principle in IPCC AR6?,No,"IPCC AR6 WG3 Chapter 4 states that equity requires countries with higher historical cumulative emissions and greater financial capacity to reduce faster. The USA, EU, UK, and Russia have the highest historical cumulative emissions. Yet Russia's and Australia's targets are rated insufficient by Climate Action Tracker. The USA and EU have more ambitious 2030 targets. India and Indonesia have low per-capita historical emissions but face development pressures. IPCC finds current NDCs do not reflect equity considerations adequately, with insufficient effort from historically high emitters.","PCC WG3 SPM (Section B.3) confirms major historical-emissions disparities LDCs contributed under 0.4% of cumulative CO2-FFI emissions (1850–2019) while a few regions hold the bulk supporting the equity principle. But ""Climate Action Tracker"" appears nowhere in this corpus the claim that Russia and Australia are ""rated insufficient"" by it is unsupported by any document. The corpus also doesn't explicitly name USA/EU/UK/Russia as top historical emitters or state that ""current NDCs do not reflect equity adequately.""
Source: WG3_SPM_2022.pdf (p.13, Section B.3); WG3_Chapter04_MitigationDevelopmentPathways_2022.pdf (p.34)",None,"the general equity/historical-emissions framing is broadly consistent with WG3 SPM, but the ""Climate Action Tracker"" citation is unsupported (absent from the corpus entirely), and the specific country-ranking and ""IPCC finds NDCs don't reflect equity"" claims aren't verifiable in the provided documents.","IPCC AR6 documents large inequalities in historical cumulative emissions and emphasizes equity, differentiated responsibilities and varying development needs. The NDC corpus also shows different national circumstances and target structures, but it does not provide a source-grounded basis for ranking the United States, EU, United Kingdom and Russia as the highest historical emitters within this evaluation or for importing Climate Action Tracker ratings. The defensible conclusion is that equity is relevant to interpreting ambition, while the present corpus and scoring framework do not produce an equity-adjusted cross-country adequacy ranking.",Reconstruct,Retained the documented equity principle and removed unsupported external rankings and ratings.,"WG3_SPM_2022, Section B.3; WG3_Chapter04_MitigationDevelopmentPathways_2022, equity discussion",Adjudicated,Not obtained,v1.0
76,G021,GAP DETECTION,HARD,"Which G20 NDC2 submissions address fossil fuel subsidies, and how does this compare to IPCC guidance?","Which G20 NDC2 submissions address fossil fuel subsidies, and how does this compare to IPCC guidance?",No,"IPCC AR6 WG3 identifies elimination of fossil fuel subsidies as a key near-term mitigation measure. Among G20 NDC2 submissions, most do not mention fossil fuel subsidies at all. Canada's NDC2 references its commitment to phase out inefficient fossil fuel subsidies. The UK references the Green Finance Taxonomy. No G20 NDC2 provides a specific fossil fuel subsidy phase-out timeline with amounts. Saudi Arabia, Russia, and Mexico do not mention fossil fuel subsidies. GAP: Despite IPCC urgency, fossil fuel subsidy elimination is systematically absent from G20 NDC2 texts."," Indonesia is the clear G20 example addressing fossil fuel subsidies its NDC2 states it's ""one of the pioneer countries for fossil fuel subsidy reform"" and has ""succeeded in removing fossil fuel subsidies"" to redirect funds to renewables/infrastructure entirely omitted from the existing answer. Canada's NDC2 has no mention of fossil fuel subsidies, and the UK's NDC2 has no reference to ""Green Finance Taxonomy"" both cited claims are unsupported. Russia's ""subsidies"" mention relates to housing, not fossil fuels. No G20 NDC2 gives a phase-out timeline with specific amounts.
Source: NDC2_2022_Indonesia.pdf (p.17); NDC2_2021_Canada.pdf (no mention); NDC2_2022_UK.pdf (no mention); NDC2_2022_Russia.pdf (p.15, unrelated)",None,"the two specific examples (Canada, UK) appear nowhere in their documents, while Indonesia, the actual G20 nation addressing fossil fuel subsidies, was omitted entirely. Only the ""Mexico/Saudi Arabia/Russia silent on it"" part holds up.","IPCC AR6 identifies reform of fossil-fuel subsidies as a potential mitigation policy. Indonesia is the clearest assessed NDC example: it describes fossil-fuel subsidy reform and the redirection of resources toward infrastructure and cleaner energy. The assessed Canada and UK NDCs do not contain the fossil-fuel-subsidy commitments attributed to them in the original answer, and Russia's subsidy reference is unrelated. No reviewed NDC provides a complete quantified fossil-fuel-subsidy phase-out schedule. The corpus therefore shows limited and uneven treatment, rather than total absence.",Reconstruct,Replaced unsupported Canada/UK examples with the source-supported Indonesian case.,"WG3_SPM_2022, policy-instrument passages; NDC2_2022_Indonesia, p. 17; NDC2_2021_Canada; NDC2_2022_UK; NDC2_2022_Russia",Adjudicated,Not obtained,v1.0
